symbol,mode,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,skipped_margin,skipped_insolvent,final_balance_usd,return_percent,max_balance_drawdown_percent,trades_per_week,trades_per_month,mean_monthly_return_percent,geometric_monthly_return_percent,median_monthly_return_percent,positive_months,negative_months,flat_months,risk_budget_breaches,mean_executed_risk_budget_utilization_percent,tail_candidates,tail_executed,tail_skipped,ruined
US500_x100,margin_400,3000,2,688,670,18,0,0,8267.67427847059,175.5891426156863,38.27576635455037,4.815195071868583,20.9375,4.260284324048336,3.2186538312531265,0.7783736667996555,18,14,0,3,94.6494230906429,53,52,1,False
US500_x100,margin_400,3000,3,688,679,9,0,0,9260.356249869208,208.67854166230694,56.67243841927735,4.879876796714579,21.21875,6.046070926187504,3.5850491007444862,-1.1114102391201985,15,17,0,2,96.44519657775398,53,53,0,False
US500_x100,margin_400,3000,4,688,680,8,0,0,9645.971721897624,221.5323907299208,69.23630152186708,4.887063655030801,21.25,8.089109041376283,3.717197366427283,-1.8174121384498463,15,17,0,3,97.08473720244011,53,53,0,False
US500_x100,margin_400,3000,5,688,679,9,0,0,8223.459190684654,174.11530635615514,79.14651443756107,4.879876796714579,21.21875,9.962393732674425,3.201358740450888,-3.657495362954898,15,17,0,3,97.45941986679597,53,53,0,False
US500_x100,margin_100,500,1,688,0,688,0,0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,0,,53,0,53,False
US500_x100,margin_100,500,2,688,6,682,0,0,509.6074291888135,1.9214858377627042,5.303657495047144,0.043121149897330596,0.1875,0.06862051532808769,0.05949451659761351,0.0,3,2,27,0,90.48055080641446,53,1,52,False
US500_x100,margin_100,500,3,688,194,494,0,0,1140.0187526786249,128.003750535725,42.56772339429716,1.3942505133470227,6.0625,3.3579129038674274,2.6090548386200174,0.0,15,13,4,1,89.07030389316813,53,19,34,False
US500_x100,margin_100,500,4,688,572,116,0,0,3006.6866375527507,501.33732751055015,61.37618234929643,4.11088295687885,17.875,8.95165050264118,5.766331857166396,7.034878232161438,19,13,0,1,91.96927373052618,53,45,8,False
US500_x100,margin_100,500,5,688,173,513,2,0,300.32569910677466,-39.93486017864507,70.8807558186766,1.2433264887063655,5.40625,-0.9733969635114735,-1.580319038293354,0.0,10,7,15,0,90.34042688677056,53,11,42,False
US500_x100,margin_100,1000,1,688,6,682,0,0,1009.6074291888135,0.9607429188813521,2.7492758760796194,0.043121149897330596,0.1875,0.032250971370002136,0.029884374878941244,0.0,3,2,27,0,91.86216937938659,53,1,52,False
US500_x100,margin_100,1000,2,688,489,199,0,0,3741.7865890083776,274.1786589008377,36.31898628917992,3.5143737166324436,15.28125,5.0989904655301235,4.209837622844126,3.997088292547286,19,12,1,2,90.04366873168541,53,42,11,False
US500_x100,margin_100,1000,3,688,603,85,0,0,3639.911723367567,263.9911723367567,50.397148075485596,4.333675564681725,18.84375,6.259272729737239,4.119983136165639,2.294781643709807,16,16,0,3,91.82666998648952,53,46,7,False
US500_x100,margin_100,1000,4,688,613,75,0,0,2746.2367238527067,174.62367238527068,68.22253580420619,4.405544147843942,19.15625,7.1448139016351595,3.2073344412042903,-0.9072515624112785,16,16,0,1,92.31424254097251,53,46,7,False
US500_x100,margin_100,1000,5,688,603,83,2,0,2088.2565636072195,108.82565636072195,79.2238393827121,4.333675564681725,18.84375,7.292518873829831,2.327707725666528,-4.041215336647816,15,17,0,1,92.84065896550996,53,44,9,False
US500_x100,margin_100,3000,1,688,548,140,0,0,5854.983327250381,95.16611090834604,18.213951378757905,3.938398357289528,17.125,2.3458784902109366,2.111613281275493,1.6296135122166076,19,13,0,2,90.43241803537025,53,46,7,False
US500_x100,margin_100,3000,2,688,670,18,0,0,8267.67427847059,175.5891426156863,38.27576635455037,4.815195071868583,20.9375,4.260284324048336,3.2186538312531265,0.7783736667996555,18,14,0,3,94.6494230906429,53,52,1,False
US500_x100,margin_100,3000,3,688,679,9,0,0,9260.356249869208,208.67854166230694,56.67243841927735,4.879876796714579,21.21875,6.046070926187504,3.5850491007444862,-1.1114102391201985,15,17,0,2,96.44519657775398,53,53,0,False
US500_x100,margin_100,3000,4,688,680,8,0,0,9645.971721897624,221.5323907299208,69.23630152186708,4.887063655030801,21.25,8.089109041376283,3.717197366427283,-1.8174121384498463,15,17,0,3,97.08473720244011,53,53,0,False
